District,Block,State,ASSAM AND BENGAL PLAIN  HOT SUBHUMID  TO HUMID  (INCLUSION  OF PERHUMID) ECO-REGION,CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,DECCAN PLATU  HOT SEMI-ARID ECO-REGION,EASTERN COASTAL PLAIN  HOT SUBHUMID TO SEMI-ARID EGO-REGION,EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,EASTERN HIMALAYAS  WARM PERHUMID ECO-REGION,EASTERN PLAIN  HOT SUBAUMID (MOIST) ECO-REGION,EASTERN PLATEAU (CHHATTISGARH REGION),EASTERN PLATEAU (CHHOTANAGPUR) AND EASTERN GHATS  HOT SUBHUMID ECO-REGION,KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),WESTERN GHATS AND COASTAL PLAIN  HOT HUMID-PERHUMID ECO-REGION,zones_list,zone_count,is_shared,zone_label,display_color
Anantapuramu,Brahmasamudram,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.2479947822534,0.0,Karnataka Plateau (incl. Rayalaseema),1,False,Karnataka Plateau (incl. Rayalaseema),#3682ba
Anantapuramu,Bukkaraya  Samudram,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.8359983082007,0.0,Karnataka Plateau (incl. Rayalaseema),1,False,Karnataka Plateau (incl. Rayalaseema),#3682ba
Anantapuramu,D.Hirehal,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.23570782122266,0.0,Karnataka Plateau (incl. Rayalaseema),1,False,Karnataka Plateau (incl. Rayalaseema),#3682ba
Anantapuramu,Garladinne,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.5184699022047,0.0,Karnataka Plateau (incl. Rayalaseema),1,False,Karnataka Plateau (incl. Rayalaseema),#3682ba
Anantapuramu,Gooty,Andhra Pradesh,0.0,0.0,0.0,41.70661716120538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.9270593242063,0.0,Deccan Plateau (Telangana) & Eastern Ghats (Semi-Arid); Karnataka Plateau (incl. Rayalaseema),2,True,Shared: Deccan Plateau (Telangana) & Eastern Ghats (Semi-Arid) + Karnataka Plateau (incl. Rayalaseema),#888888
Anantapuramu,Gummagatta,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.3800015083484,0.0,Karnataka Plateau (incl. Rayalaseema),1,False,Karnataka Plateau (incl. Rayalaseema),#3682ba
Anantapuramu,Guntakal,Andhra Pradesh,0.0,0.0,0.0,12.727109169071747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.7566550183345,0.0,Deccan Plateau (Telangana) & Eastern Ghats (Semi-Arid); Karnataka Plateau (incl. Rayalaseema),2,True,Shared: Deccan Plateau (Telangana) & Eastern Ghats (Semi-Arid) + Karnataka Plateau (incl. Rayalaseema),#888888
Anantapuramu,Kalyandurg,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525.9854660990667,0.0,Karnataka Plateau (incl. Rayalaseema),1,False,Karnataka Plateau (incl. Rayalaseema),#3682ba
Anantapuramu,Kambadur,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426.4950725634121,0.0,Karnataka Plateau (incl. Rayalaseema),1,False,Karnataka Plateau (incl. Rayalaseema),#3682ba
Anantapuramu,Kanekal,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.8441549470986,0.0,Karnataka Plateau (incl. Rayalaseema),1,False,Karnataka Plateau (incl. Rayalaseema),#3682ba
Anantapuramu,Kudair,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.5213549336036,0.0,Karnataka Plateau (incl. Rayalaseema),1,False,Karnataka Plateau (incl. Rayalaseema),#3682ba
Anantapuramu,Kundurpi,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.9316994903423,0.0,Karnataka Plateau (incl. Rayalaseema),1,False,Karnataka Plateau (incl. Rayalaseema),#3682ba
Anantapuramu,Narpala,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.89384823869966,0.0,Karnataka Plateau (incl. Rayalaseema),1,False,Karnataka Plateau (incl. Rayalaseema),#3682ba
Anantapuramu,Pamidi,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.3595102718519,0.0,Karnataka Plateau (incl. Rayalaseema),1,False,Karnataka Plateau (incl. Rayalaseema),#3682ba
Anantapuramu,Peddapappur,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.1119422314256,0.0,Karnataka Plateau (incl. Rayalaseema),1,False,Karnataka Plateau (incl. Rayalaseema),#3682ba
Anantapuramu,Peddavadugur,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.9211166960747,0.0,Karnataka Plateau (incl. Rayalaseema),1,False,Karnataka Plateau (incl. Rayalaseema),#3682ba
