State,District,Block,DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,DECCAN PLATU  HOT SEMI-ARID ECO-REGION,EASTERN COASTAL PLAIN  HOT SUBHUMID TO SEMI-ARID EGO-REGION,EASTERN GHATS AND TAMIL NADU UPLANDS AND DECCAN (K ARNATAKA) PLATEAU  HOT SEMI-ARID ECO-REGION,KARNATAKA PLATEAU (RAYALSEEMA AS INCLUSION),WESTERN GHATS AND COASTAL PLAIN  HOT HUMID-PERHUMID ECO-REGION
KA,Kalaburagi,Chittapur,0.0,1139.153026549905,0.0,0.0,0.0,0.0
KA,Kalaburagi,Jevargi,0.0,1162.1802758989302,0.0,0.0,0.0,0.0
KA,Kalaburagi,Kalaburagi,0.0,1398.338497617786,0.0,0.0,0.0,0.0
KA,Kalaburagi,Kalagi,0.0,757.1956597147955,0.0,0.0,0.0,0.0
KA,Kalaburagi,Kamalapur,0.0,796.6745142455686,0.0,0.0,0.0,0.0
KA,Kalaburagi,Sedam,0.6724024940062215,1115.9282060048117,0.0,0.0,0.0,0.0
KA,Kalaburagi,Shahabad,0.0,234.9174643715602,0.0,0.0,0.0,0.0
KA,Kalaburagi,Yadrami,0.0,849.7147304252189,0.0,0.0,0.0,0.0
KA,Kodagu,Madikeri,0.0,0.0,0.0,0.0,0.0,1502.326709803253
KA,Kodagu,Somvarpet,0.0,0.0,0.0,28.41416474118571,0.0,1033.6135264591737
KA,Kodagu,Virajpet,0.0,0.0,0.0,101.9149618613023,0.0,1665.7855764015283
KA,Kolar,Bangarapet,0.0,0.0,0.0,574.5754400556007,0.0,0.0
KA,Kolar,Kolar,0.0,0.0,0.0,839.9229090896338,0.0,0.0
KA,Kolar,Kolar Gold Field,0.0,0.0,0.0,335.8932921993072,0.0,0.0
KA,Kolar,Malur,0.0,0.0,0.0,681.6127302980004,0.0,0.0
KA,Kolar,Mulbagal,0.0,0.0,0.0,871.652494049677,0.0,0.0
KA,Kolar,Srinivaspur,0.0,0.0,0.0,917.3606087495037,0.0,0.0
KA,Koppal,Gangawati,0.0,0.0,0.0,0.0,468.97403267090584,0.0
KA,Koppal,Kanakagiri,0.0,0.5725785002926862,0.0,0.0,534.2959888226812,0.0
KA,Koppal,Karatagi,0.0,9.334345822505137,0.0,0.0,410.67660049420107,0.0
KA,Koppal,Koppal,0.0,0.0,0.0,0.0,1485.035078016302,0.0
KA,Koppal,Kukunoor,0.0,4.54966263881824,0.0,0.0,715.9027017595434,0.0
KA,Koppal,Kushtagi,0.0,64.76452097050093,0.0,0.0,1423.2077044176874,0.0
KA,Koppal,Yelbarga,0.0,0.0,0.0,0.0,919.058845548538,0.0
KA,Mandya,Krishnarajpet,0.0,0.0,0.0,949.8024778332167,0.0,0.0
KA,Mandya,Maddur,0.0,0.0,0.0,648.1940087089648,0.0,0.0
KA,Mandya,Malavalli,0.0,0.0,0.0,877.0196212602472,0.0,0.0
KA,Mandya,Mandya,0.0,0.0,0.0,734.8944261529256,0.0,0.0
KA,Mandya,Nagamangala,0.0,0.0,0.0,1090.5668926948297,0.0,0.0
KA,Mandya,Pandavapura,0.0,0.0,0.0,547.0801077132518,0.0,0.0
KA,Mandya,Shrirangapattana,0.0,0.0,0.0,389.109477934148,0.0,0.0
KA,Mysuru,Heggadadevankote,0.0,0.0,0.0,1153.2265220540119,0.0,65.78199295365324
KA,Mysuru,Hunsur,0.0,0.0,0.0,950.7819272621032,0.0,0.0
KA,Mysuru,Krishnarajanagara,0.0,0.0,0.0,642.1471496802411,0.0,0.0
KA,Mysuru,Mysuru,0.0,0.0,0.0,841.2142187213137,0.0,0.0
KA,Mysuru,Nanjangud,0.0,0.0,0.0,1024.59731301756,0.0,0.0
KA,Mysuru,Piriyapatna,0.0,0.0,0.0,793.5773885350919,0.0,61.77556803594075
KA,Mysuru,Saraguru,0.0,0.0,0.0,482.17147893407264,0.0,0.0
KA,Mysuru,Tirumakudal - Narsipur,0.0,0.0,0.0,632.3509838351007,0.0,0.0
KA,Raichur,Devadurga,0.0,1633.3150190007336,0.0,0.0,0.0,0.0
