State,District,Block,zone_count,zone_label,display_color
CG,Surajpur,Pratappur,1,Eastern Plateau (Chhattisgarh),#97d5a4
CG,Surajpur,Premnagar,1,Eastern Plateau (Chhattisgarh),#97d5a4
CG,Surajpur,Ramanujnagar,1,Eastern Plateau (Chhattisgarh),#97d5a4
CG,Surajpur,Surajpur,1,Eastern Plateau (Chhattisgarh),#97d5a4
CG,Surguja,Ambikapur,1,Eastern Plateau (Chhattisgarh),#97d5a4
CG,Surguja,Batouli,1,Eastern Plateau (Chhattisgarh),#97d5a4
CG,Surguja,Lakhanpur,1,Eastern Plateau (Chhattisgarh),#97d5a4
CG,Surguja,Lundra,1,Eastern Plateau (Chhattisgarh),#97d5a4
CG,Surguja,Mainpat,1,Eastern Plateau (Chhattisgarh),#97d5a4
CG,Surguja,Sitapur,1,Eastern Plateau (Chhattisgarh),#97d5a4
CG,Surguja,Udaypur,1,Eastern Plateau (Chhattisgarh),#97d5a4
KA,Bagalkote,Badami,2,Shared: Deccan Plateau (Semi-Arid) + Karnataka Plateau (incl. Rayalaseema),#888888
KA,Bagalkote,Bagalkot,1,Karnataka Plateau (incl. Rayalaseema),#3682ba
KA,Bagalkote,Bilgi,1,Karnataka Plateau (incl. Rayalaseema),#3682ba
KA,Bagalkote,Guledgudda,1,Karnataka Plateau (incl. Rayalaseema),#3682ba
KA,Bagalkote,Hungund,1,Karnataka Plateau (incl. Rayalaseema),#3682ba
KA,Bagalkote,Ilkal,2,Shared: Deccan Plateau (Semi-Arid) + Karnataka Plateau (incl. Rayalaseema),#888888
KA,Bagalkote,Jamkhandi,2,Shared: Deccan Plateau (Semi-Arid) + Karnataka Plateau (incl. Rayalaseema),#888888
KA,Bagalkote,Mudhol,2,Shared: Deccan Plateau (Semi-Arid) + Karnataka Plateau (incl. Rayalaseema),#888888
KA,Bagalkote,Rabakavi Banahatti,2,Shared: Deccan Plateau (Semi-Arid) + Karnataka Plateau (incl. Rayalaseema),#888888
KA,Ballari,Ballari,2,Shared: Deccan Plateau (Telangana) & Eastern Ghats (Semi-Arid) + Karnataka Plateau (incl. Rayalaseema),#888888
KA,Ballari,Hadagalli,2,Shared: Deccan Plateau (Semi-Arid) + Karnataka Plateau (incl. Rayalaseema),#888888
KA,Ballari,Hagaribommanahalli,1,Karnataka Plateau (incl. Rayalaseema),#3682ba
KA,Ballari,Hosapete,1,Karnataka Plateau (incl. Rayalaseema),#3682ba
KA,Ballari,Kampli,1,Karnataka Plateau (incl. Rayalaseema),#3682ba
KA,Ballari,Kotturu,1,Karnataka Plateau (incl. Rayalaseema),#3682ba
KA,Ballari,Kudligi,1,Karnataka Plateau (incl. Rayalaseema),#3682ba
KA,Ballari,Kurugodu,1,Karnataka Plateau (incl. Rayalaseema),#3682ba
KA,Ballari,Sandur,1,Karnataka Plateau (incl. Rayalaseema),#3682ba
KA,Ballari,Siruguppa,3,Shared: Deccan Plateau (Telangana) & Eastern Ghats (Semi-Arid) + Deccan Plateau (Semi-Arid) + Karnataka Plateau (incl. Rayalaseema),#888888
KA,Belagavi,Athni,2,Shared: Deccan Plateau (Semi-Arid) + Karnataka Plateau (incl. Rayalaseema),#888888
KA,Belagavi,Bailahongala,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Belagavi,Belagavi,2,Shared: Deccan Plateau (Semi-Arid) + Western Ghats & Coastal Plain (Humid–Perhumid),#888888
KA,Belagavi,Chikodi,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Belagavi,Gokak,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Belagavi,Hukeri,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Belagavi,Kagwad,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Belagavi,Khanapur,2,Shared: Deccan Plateau (Semi-Arid) + Western Ghats & Coastal Plain (Humid–Perhumid),#888888
KA,Belagavi,Kittur,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Belagavi,Mudalgi,2,Shared: Deccan Plateau (Semi-Arid) + Karnataka Plateau (incl. Rayalaseema),#888888
KA,Belagavi,Nippani,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Belagavi,Ramdurg,2,Shared: Deccan Plateau (Semi-Arid) + Karnataka Plateau (incl. Rayalaseema),#888888
KA,Belagavi,Raybag,2,Shared: Deccan Plateau (Semi-Arid) + Karnataka Plateau (incl. Rayalaseema),#888888
KA,Belagavi,Savadatti,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Bengaluru Rural,Devanahalli,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Bengaluru Rural,Dodda Ballapur,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Bengaluru Rural,Hosakote,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Bengaluru Rural,Nelamangala,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Bengaluru Urban,Anekal,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Bengaluru Urban,Area Not Under Any Sub-district,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Bengaluru Urban,Bengaluru East,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Bengaluru Urban,Bengaluru North,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Bengaluru Urban,Bengaluru South,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Bengaluru Urban,Yelahanka,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Bidar,Aurad,2,Shared: Deccan Plateau (Telangana) & Eastern Ghats (Semi-Arid) + Deccan Plateau (Semi-Arid),#888888
KA,Bidar,Basavakalyan,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Bidar,Bhalki,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Bidar,Bidar,2,Shared: Deccan Plateau (Telangana) & Eastern Ghats (Semi-Arid) + Deccan Plateau (Semi-Arid),#888888
KA,Bidar,Chitaguppa,2,Shared: Deccan Plateau (Telangana) & Eastern Ghats (Semi-Arid) + Deccan Plateau (Semi-Arid),#888888
KA,Bidar,Homnabad,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Bidar,Hulsoor,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Bidar,Kamalnagar,1,Deccan Plateau (Semi-Arid),#fa9b58
KA,Chamarajanagara,Chamarajanagar,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Chamarajanagara,Gundlupet,2,"Shared: Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid) + Western Ghats & Coastal Plain (Humid–Perhumid)",#888888
KA,Chamarajanagara,Hanur,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Chamarajanagara,Kollegal,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Chamarajanagara,Yelandur,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Chikkaballapura,Bagepalli,2,"Shared: Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid) + Karnataka Plateau (incl. Rayalaseema)",#888888
KA,Chikkaballapura,Chikkaballapura,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Chikkaballapura,Chintamani,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Chikkaballapura,Gauribidanur,2,"Shared: Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid) + Karnataka Plateau (incl. Rayalaseema)",#888888
KA,Chikkaballapura,Gudibanda,2,"Shared: Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid) + Karnataka Plateau (incl. Rayalaseema)",#888888
KA,Chikkaballapura,Sidlaghatta,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Chikkamagaluru,Ajjampura,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Chikkamagaluru,Chikkamagaluru,2,"Shared: Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid) + Western Ghats & Coastal Plain (Humid–Perhumid)",#888888
KA,Chikkamagaluru,Kadur,1,"Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid)",#f4faad
KA,Chikkamagaluru,Koppa,1,Western Ghats & Coastal Plain (Humid–Perhumid),#5e4fa2
KA,Chikkamagaluru,Mudigere,1,Western Ghats & Coastal Plain (Humid–Perhumid),#5e4fa2
KA,Chikkamagaluru,Narasimharajapura,2,"Shared: Eastern Ghats, TN Uplands & Deccan (Karnataka) Plateau (Semi-Arid) + Western Ghats & Coastal Plain (Humid–Perhumid)",#888888
KA,Chikkamagaluru,Sringeri,1,Western Ghats & Coastal Plain (Humid–Perhumid),#5e4fa2
